site,temperature,pH,oxygen,conductivity,plants,land_use,margin,season,richness,abundance,shannon
CAT,-0.538021278,-1.002880473,-1.327514398,-0.911579614,1.200607612,bosque,pastos,dry,-1.28956065,-1.048601036,-0.218167876
CAT,1.419502635,0.193357418,-0.607478534,1.777834303,1.200607612,bosque,pastos,dry,-0.238127826,-0.074385886,0.007453616
CAT,0.69022902,-0.703821,-0.607478534,0.910893817,1.200607612,agroforestal,pastos,dry,-0.043418043,0.621482079,0.810539903
CAT,0.69022902,0.49241689,-0.94349527,-1.038140269,1.200607612,agroforestal,pastos,wet,1.072918042,1.039002858,0.673273681
CAT,1.381119813,-0.105702055,2.080655359,-1.011020128,1.200607612,agroforestal,pastos,wet,1.812815215,2.013218008,1.178160934
CAT,-0.192575882,1.389595309,0.016552549,-0.956779848,1.200607612,agroforestal,pastos,wet,1.695989345,1.317350043,0.450807735
CAT,1.035674417,0.043827681,-0.271461797,-1.038140269,1.200607612,agroforestal,pastos,wet,-0.043418043,0.760655672,0.073720068
CAT,1.764948032,-2.049588628,0.496576458,-0.938699754,1.200607612,agroforestal,pastos,wet,0.618595217,1.039002858,0.670118136
CAT,0.229635158,-0.554291264,-1.279512007,-0.929659707,1.200607612,agroforestal,pastos,dry,1.618105433,1.456523636,0.600696138
CAT,1.688182388,0.49241689,0.400571676,-1.083340503,1.200607612,agroforestal,pastos,dry,1.955602389,2.013218008,1.1166278
DA,-2.764224945,1.389595309,1.216612322,-0.730778678,1.541956835,semiurbano,pastos,dry,1.137821303,0.482308486,0.488674279
DA,0.114486693,-1.750529155,-1.135504834,-0.021135006,1.541956835,semiurbano,pastos,dry,-0.614566738,-0.491906665,-0.420122777
DA,0.882143129,1.838184518,-1.423519179,-0.938699754,1.541956835,semiurbano,pastos,dry,2.241176736,1.039002858,0.988828214
DA,0.536697733,0.49241689,-1.615528743,-0.631338164,1.541956835,semiurbano,pastos,wet,1.670028041,1.456523636,0.851561992
DA,-0.960232319,-1.600999419,-0.607478534,-0.902539567,1.541956835,semiurbano,pastos,wet,0.358982173,0.621482079,0.739540133
DA,-1.344060537,0.791476363,-1.519523961,-0.676538397,1.541956835,semiurbano,pastos,wet,0.969072825,1.039002858,0.797917721
DA,-0.269341526,-1.451469682,-1.47152157,-0.875419427,1.541956835,semiurbano,pastos,wet,1.501279563,0.760655672,0.562829594
DA,-1.843037221,0.193357418,-1.327514398,-0.89349952,1.541956835,semiurbano,pastos,wet,-0.92610239,-0.213559479,0.215719608
DA,-1.075380784,-0.853350737,-1.903543089,-0.622298117,1.541956835,semiurbano,pastos,dry,1.475318259,1.039002858,0.38296351
DA,-0.538021278,0.9410061,-0.895492879,-0.812139099,1.541956835,semiurbano,pastos,dry,1.592144128,0.899829265,0.28829715
ER,0.306400802,-0.703821,-0.94349527,1.330351988,-0.733704652,bosque,zacate,dry,-0.316011739,0.064787707,0.26463056
ER,1.381119813,-0.554291264,-0.463471361,1.176671192,-0.733704652,bosque,zacate,dry,0.436866086,0.064787707,0.304074877
ER,0.229635158,-0.105702055,-0.895492879,1.158591099,-0.733704652,bosque,zacate,dry,-0.601586086,-0.352733072,0.304074877
ER,0.920525951,0.342887154,-0.655480924,0.570988058,-0.733704652,bosque,zacate,wet,-0.316011739,0.482308486,0.272519424
ER,0.805377486,-0.105702055,-0.271461797,0.363066982,-0.733704652,bosque,zacate,wet,-0.848218477,-0.491906665,-0.035146246
ER,0.766994664,-1.15241021,-0.799488097,0.299786655,-0.733704652,bosque,zacate,wet,0.852246955,1.317350043,0.823162084
ER,-0.461255635,-0.853350737,0.304566894,0.869309602,-0.733704652,bosque,zacate,wet,1.345511737,2.013218008,1.559981919
ER,0.459932089,-0.404761528,0.400571676,1.041070491,-0.733704652,bosque,zacate,dry,0.644556521,0.899829265,0.895739627
LP,-1.382443359,1.090535836,0.256564503,0.45346745,-0.733704652,urbano,soil,dry,-0.900141086,-1.187774629,-1.202698019
LP,-0.538021278,-0.404761528,-0.223459406,4.458208173,-0.733704652,urbano,soil,dry,-0.26408913,-0.491906665,-0.579477816
LP,-1.267294893,-1.600999419,0.06455494,0.70658876,-0.733704652,urbano,soil,dry,-0.380914999,-0.909427443,-1.095409478
LP,-0.269341526,0.9410061,0.256564503,0.887389695,-0.733704652,urbano,soil,dry,-0.290050434,-1.187774629,-1.16167593
LP,0.229635158,0.49241689,0.304566894,-0.269736292,-0.733704652,urbano,soil,wet,-1.40638652,-2.022816187,-3.361091027
LP,0.152869515,1.389595309,0.832593194,1.818514514,-0.733704652,urbano,soil,wet,0.839266303,0.343134893,0.340363648
LP,1.074057239,-1.301939946,0.59258124,-0.188375871,-0.733704652,urbano,soil,wet,-0.653508695,-0.074385886,0.398741237
LP,0.344783624,-0.255231791,1.504626668,-0.269736292,-0.733704652,urbano,soil,wet,-0.575624782,-0.352733072,0.304074877
LP,-0.230958704,-0.554291264,0.688586022,-0.05277517,-0.733704652,urbano,soil,dry,-0.108321304,-0.213559479,0.242541743
LP,0.728611842,-0.554291264,1.504626668,-0.152215684,-0.733704652,urbano,soil,dry,-1.016966955,-0.909427443,-0.121923743
LS,-1.574357468,0.49241689,1.456624277,-0.3872569,-0.688191422,urbano,zacate,dry,-1.458309128,-2.16198978,-3.361091027
LS,-0.269341526,0.641946627,0.928597976,-0.559017789,-0.688191422,urbano,zacate,dry,-1.315521955,-1.466121815,-0.969187665
LS,1.342736991,1.090535836,0.448574067,-0.622298117,-0.688191422,urbano,zacate,dry,-0.341973043,-0.631080258,-0.573166725
LS,0.882143129,-0.404761528,-0.271461797,-0.323976573,-0.688191422,urbano,zacate,wet,-1.146773477,-1.605295408,-1.699696409
LS,1.649799566,0.49241689,-0.079452233,-0.794059006,-0.688191422,urbano,zacate,wet,-1.458309128,-2.16198978,-3.361091027
LS,0.498314911,2.884892672,0.59258124,-0.215496012,-0.688191422,urbano,zacate,wet,-0.614566738,-1.048601036,-0.899765667
LS,-0.192575882,0.193357418,1.312617104,-0.821179146,-0.688191422,urbano,zacate,wet,0.333020869,0.064787707,0.269363878
LS,-0.691552566,-0.703821,1.264614713,-0.947739801,-0.688191422,urbano,zacate,wet,0.423885434,0.064787707,0.214141835
LS,-0.921849497,-0.554291264,0.352569285,-0.794059006,-0.688191422,urbano,zacate,dry,-0.510721521,-0.631080258,-0.046190655
LS,0.498314911,0.641946627,1.552629058,-0.830219193,-0.688191422,urbano,zacate,dry,-0.614566738,-0.074385886,0.095808885
LAN,-1.267294893,1.389595309,0.448574067,0.344986889,-0.733704652,semiurbano,pastos,dry,-0.679469999,-0.491906665,-0.21501233
LAN,-0.192575882,-0.554291264,1.600631449,1.456912643,-0.733704652,semiurbano,pastos,dry,-1.185715433,-0.77025385,-0.099834926
LAN,0.69022902,1.090535836,1.168609931,0.760829041,-0.733704652,semiurbano,pastos,dry,-0.354953695,-0.074385886,0.472896552
LAN,-0.921849497,0.791476363,-0.175457015,0.815069321,-0.733704652,semiurbano,pastos,wet,-0.419856956,-0.213559479,0.277252742
LAN,0.459932089,-0.554291264,1.696636231,0.028585251,-0.733704652,semiurbano,pastos,wet,-0.913121738,-0.77025385,-0.361745188
LAN,-0.230958704,1.539125045,0.208562112,0.218426234,-0.733704652,semiurbano,pastos,wet,0.008504565,-0.074385886,0.24096397
LAN,-0.346107169,0.043827681,0.640583631,-0.3872569,-0.733704652,semiurbano,pastos,wet,-0.601586086,0.064787707,0.670118136
LAN,-0.230958704,-1.600999419,-0.463471361,0.498667684,-0.733704652,semiurbano,pastos,wet,-0.92610239,-0.352733072,0.364030238
LAN,-1.305677715,-0.404761528,-1.231509616,0.42634731,-0.733704652,semiurbano,pastos,dry,-0.471779565,0.064787707,0.272519424
LAN,-2.03495133,-0.404761528,-1.183507225,0.254586421,-0.733704652,semiurbano,pastos,dry,-0.757353912,-0.491906665,0.297763786
